UCI_ID,JEN_ID,Plot,Horizon,Rep,Treat,Treat_num,d14_UCI,d14_UCI_err,d14_JEN,d14_JEN_err
M-1-1 ISE mid2x,ISE_M-1-1,1,M,1,mid2x,2,10.74356791,1.526622912,,
M-1-2 ISE mid2x,ISE_M-1-2,1,M,2,mid2x,2,19.42181414,2.088202689,,
M-1-3 ISE mid2x,ISE_M-1-3,1,M,3,mid2x,2,24.73705149,1.547835128,,
O-1-3 ISE mid2x,ISE_O-1-3,1,O,3,mid2x,2,,,10.5,1.9
O-1-2 ISE mid2x,ISE_O-1-2,1,O,2,mid2x,2,,,12.3,2
O-1-1 ISE mid2x,ISE_O-1-1,1,O,1,mid2x,2,,,17.8,1.9
M-4-3 ISE Ctl,ISE_M-4-3,4,M,3,Ctl,0,,,8.1,3
M-4-1 ISE Ctl,ISE_M-4-1,4,M,1,Ctl,0,,,,
M-4-2 ISE Ctl,ISE_M-4-2,4,M,2,Ctl,0,,,,
O-4-3 ISE Ctl,ISE_O-4-3,4,O,3,Ctl,0,,,11.3,3
O-4-2 ISE Ctl,ISE_O-4-2,4,O,2,Ctl,0,,,13,3
O-4-1 ISE Ctl,ISE_O-4-1,4,O,1,Ctl,0,,,17,3.1
M-5-3 ISE high,ISE_M-5-3,5,M,3,high,1,,,10.2,3
M-5-2 ISE high,ISE_M-5-2,5,M,2,high,1,,,18.3,3
M-5-1 ISE high,ISE_M-5-1,5,M,1,high,1,,,58.9,3.2
O-5-3 ISE high,ISE_O-5-3,5,O,3,high,1,,,6.9,3
O-5-2 ISE high,ISE_O-5-2,5,O,2,high,1,,,8.3,3
O-5-1 ISE high,ISE_O-5-1,5,O,1,high,1,,,9.5,3
M-7-2 ISE Ctl,ISE_M-7-2,7,M,2,Ctl,0,,,,
M-7-1 ISE Ctl,ISE_M-7-1,7,M,1,Ctl,0,,,,
M-7-3 ISE Ctl,ISE_M-7-3,7,M,3,Ctl,0,,,,
O-7-2 ISE Ctl,ISE_O-7-2,7,O,2,Ctl,0,,,3.9,3
O-7-1 ISE Ctl,ISE_O-7-1,7,O,1,Ctl,0,,,8.2,3
O-7-3 ISE Ctl,ISE_O-7-3,7,O,3,Ctl,0,,,15.8,3
M-8-1 ISE mid2x,ISE_M-8-1,8,M,1,mid2x,2,2.735548228,1.822020599,,
M-8-3 ISE mid2x,ISE_M-8-3,8,M,3,mid2x,2,5.341273398,2.075505774,,
M-8-2 ISE mid2x,ISE_M-8-2,8,M,2,mid2x,2,,,7,1.9
O-8-2 ISE mid2x,ISE_O-8-2,8,O,2,mid2x,2,,,9.7,1.9
O-8-1 ISE mid2x,ISE_O-8-1,8,O,1,mid2x,2,,,10.4,1.9
O-8-3 ISE mid2x,ISE_O-8-3,8,O,3,mid2x,2,,,14.5,1.9
M-9-3 ISE high,ISE_M-9-3,9,M,3,high,1,,,15.9,3
M-9-2 ISE high,ISE_M-9-2,9,M,2,high,1,,,16.2,3
M-9-1 ISE high,ISE_M-9-1,9,M,1,high,1,,,18.4,3
O-9-3 ISE high,ISE_O-9-3,9,O,3,high,1,,,13.9,3.1
O-9-2 ISE high,ISE_O-9-2,9,O,2,high,1,,,14.8,3
O-9-1 ISE high,ISE_O-9-1,9,O,1,high,1,,,18.1,3
